question,answer,topic
What is the difference between a list and a tuple in Python?,"Lists are mutable (can be changed after creation) while tuples are immutable (cannot be changed). Lists use square brackets [] and tuples use parentheses (). Lists are better for data that changes, tuples for fixed data.",python
How do you handle exceptions in Python?,Python uses try-except blocks for exception handling. You can catch specific exceptions with 'except ExceptionType:' or use a general 'except:' block. The 'finally' block executes regardless of exceptions.,python
What is overfitting in machine learning?,"Overfitting occurs when a model learns the training data too well, including noise and random fluctuations. The model performs well on training data but poorly on new, unseen data. It can be prevented using regularization, cross-validation, or more training data.",machine_learning
Explain the concept of gradient descent.,Gradient descent is an optimization algorithm used to minimize the cost function in machine learning. It iteratively adjusts model parameters in the direction of steepest descent (negative gradient) to find the minimum error.,machine_learning
What is the purpose of __init__ method in Python classes?,The __init__ method is a constructor in Python classes that initializes new objects. It's automatically called when creating an instance of a class and is used to set initial values for object attributes.,python
What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled training data to learn patterns and make predictions on new data. Unsupervised learning finds hidden patterns in unlabeled data without target variables, like clustering or dimensionality reduction.",machine_learning
How do you create a virtual environment in Python?,"Use 'python -m venv env_name' to create a virtual environment, then activate it with 'source env_name/bin/activate' (Linux/Mac) or 'env_name\Scripts\activate' (Windows). Install packages with pip in the activated environment.",python
What is cross-validation in machine learning?,"Cross-validation is a technique to evaluate model performance by splitting data into multiple folds. The model is trained on some folds and tested on others, rotating through all combinations to get a robust performance estimate.",machine_learning
What are Python decorators and how do you use them?,"Decorators are functions that modify or extend the behavior of other functions without changing their code. They use the @decorator_name syntax and are commonly used for logging, timing, authentication, or caching functionality.",python
Explain the bias-variance tradeoff in machine learning.,"Bias-variance tradeoff describes the balance between a model's ability to capture true patterns (bias) and its sensitivity to training data variations (variance). High bias leads to underfitting, high variance to overfitting.",machine_learning
